x,y,is_exit,is_source,stands
-12416.58816,146754.19929,False,True,1095
-12465.81377,147031.14202,False,True,1094
-11832.54596,147082.78683,False,True,1200
-12445.81777,147294.8568,False,True,810
-11897.64531,147344.57458,False,True,1093
-12299.64687,147391.65277,False,True,1091
-11364.13313,147519.988,False,True,1256
-12340.19063,147770.23171,False,True,1028
-12492.32844,147882.62806,False,True,1029
-12425.12239,148037.82604,False,True,1026
-13089.88771,147018.35919,False,True,1096
-12873.50474,147235.71548,False,True,1092
-13413.54336,147534.53855,False,True,1479
-13290.59419,147587.12927,False,True,1253
-12802.25184,147648.57319,False,True,1030
-13432.83625,147809.62672,False,True,1019
-12771.5825,148051.46173,False,True,1027
-12939.92328,148186.61558,False,True,1025
-13479.42886,148513.25675,False,True,921
-12703.09936,148577.1192,False,True,1357
-13834.29961,147525.29238,False,True,875
-14277.69766,147701.86858,False,True,1452
-14083.29341,148038.77795,False,True,1018
-13827.41254,148018.7185,False,True,1016
-14646.58932,148243.81284,False,True,1014
-13864.91187,148400.54176,False,True,922
-13624.68056,148480.95494,False,True,1476
-14468.39677,148629.44725,False,True,1459
-14259.36327,148751.24827,False,True,1015
-14672.51433,148050.23587,False,True,1291
-14974.48877,148376.05056,False,True,1458
-14564.73205,148466.21055,False,True,1183
-12704.06565,148795.67262,False,True,1021
-13590.11442,148854.66064,False,True,1192
-13167.04628,148957.40486,False,True,1474
-12911.237,149019.71742,False,True,1473
-13310.96519,149117.31268,False,True,1358
-12847.34169,149222.21063,False,True,1020
-13254.19366,149464.37443,False,True,1242
-12666.14925,149667.58121,False,True,1251
-13032.42201,149899.99789,False,True,967
-13301.84237,149934.63368,False,True,1190
-15219.81608,148776.07505,False,True,1011
-14754.39218,148935.42417,False,True,877
-14955.64841,148962.5414,False,True,878
-14345.5093,148722.575,False,True,920
-13836.02542,149041.5392,False,True,919
-14512.32767,149509.9299,False,True,1243
-13643.11667,150156.67757,False,True,1351
-14031.72505,150215.80035,False,True,957
-14091.62136,150375.00936,False,True,956
-13770.58302,150444.51246,False,True,1289
-14200.81242,150601.64345,False,True,954
-13822.99718,150843.18972,False,True,953
-13561.87851,149978.58399,False,True,1288
-12571.66956,150052.70114,False,True,968
-12967.5417,150404.96628,False,True,1191
-13289.80188,150577.04322,False,True,1353
-12567.75859,150668.47886,False,True,1354
-13482.42507,150694.46085,False,True,1189
-12656.49978,150832.72151,False,True,962
-13134.77873,150983.77999,False,True,1287
-12342.89499,148193.14904,False,True,1024
-12244.08906,148375.95346,False,True,1023
-12231.82597,148897.55227,False,True,1022
-12421.77711,149417.07817,False,True,1252
-12107.60039,149563.08518,False,True,1355
-11866.22802,149776.83151,False,True,815
-11960.48012,150082.82789,False,True,966
-12244.76529,150210.78863,False,True,965
-12482.69789,150476.59119,False,True,964
-12140.67703,150814.53752,False,True,961
-11804.99905,150932.69564,False,True,960
-11882.14024,151185.28417,False,True,959
-12283.55411,151181.29542,False,True,958
