variable,value,node_type_info,action,road_type,edge,period
C_node1node30_timber_t0,0.0,node1transit_node30transit,C,timber,node1node30,0.0
C_node1node30_timber_t1,0.0,node1transit_node30transit,C,timber,node1node30,1.0
C_node1node30_timber_t2,0.0,node1transit_node30transit,C,timber,node1node30,2.0
C_node1node30_timber_t3,0.0,node1transit_node30transit,C,timber,node1node30,3.0
C_node1node30_timber_t4,0.0,node1transit_node30transit,C,timber,node1node30,4.0
C_node1node30_timber_t5,0.0,node1transit_node30transit,C,timber,node1node30,5.0
C_node1node30_wide_t0,0.0,node1transit_node30transit,C,wide,node1node30,0.0
C_node1node30_wide_t1,0.0,node1transit_node30transit,C,wide,node1node30,1.0
C_node1node30_wide_t2,0.0,node1transit_node30transit,C,wide,node1node30,2.0
C_node1node30_wide_t3,0.0,node1transit_node30transit,C,wide,node1node30,3.0
C_node1node30_wide_t4,0.0,node1transit_node30transit,C,wide,node1node30,4.0
C_node1node30_wide_t5,0.0,node1transit_node30transit,C,wide,node1node30,5.0
C_node1node109_timber_t0,0.0,node1transit_node109transit,C,timber,node1node109,0.0
C_node1node109_timber_t1,0.0,node1transit_node109transit,C,timber,node1node109,1.0
C_node1node109_timber_t2,0.0,node1transit_node109transit,C,timber,node1node109,2.0
C_node1node109_timber_t3,0.0,node1transit_node109transit,C,timber,node1node109,3.0
C_node1node109_timber_t4,0.0,node1transit_node109transit,C,timber,node1node109,4.0
C_node1node109_timber_t5,0.0,node1transit_node109transit,C,timber,node1node109,5.0
C_node1node109_wide_t0,0.0,node1transit_node109transit,C,wide,node1node109,0.0
C_node1node109_wide_t1,0.0,node1transit_node109transit,C,wide,node1node109,1.0
C_node1node109_wide_t2,0.0,node1transit_node109transit,C,wide,node1node109,2.0
C_node1node109_wide_t3,0.0,node1transit_node109transit,C,wide,node1node109,3.0
C_node1node109_wide_t4,0.0,node1transit_node109transit,C,wide,node1node109,4.0
C_node1node109_wide_t5,0.0,node1transit_node109transit,C,wide,node1node109,5.0
C_node1node223_timber_t0,0.0,node1transit_node223transit,C,timber,node1node223,0.0
C_node1node223_timber_t1,0.0,node1transit_node223transit,C,timber,node1node223,1.0
C_node1node223_timber_t2,0.0,node1transit_node223transit,C,timber,node1node223,2.0
C_node1node223_timber_t3,0.0,node1transit_node223transit,C,timber,node1node223,3.0
C_node1node223_timber_t4,0.0,node1transit_node223transit,C,timber,node1node223,4.0
C_node1node223_timber_t5,0.0,node1transit_node223transit,C,timber,node1node223,5.0
C_node1node223_wide_t0,0.0,node1transit_node223transit,C,wide,node1node223,0.0
C_node1node223_wide_t1,0.0,node1transit_node223transit,C,wide,node1node223,1.0
C_node1node223_wide_t2,-0.0,node1transit_node223transit,C,wide,node1node223,2.0
C_node1node223_wide_t3,0.0,node1transit_node223transit,C,wide,node1node223,3.0
C_node1node223_wide_t4,0.0,node1transit_node223transit,C,wide,node1node223,4.0
C_node1node223_wide_t5,0.0,node1transit_node223transit,C,wide,node1node223,5.0
C_node1node404_timber_t0,0.0,node1transit_node404source,C,timber,node1node404,0.0
C_node1node404_timber_t1,1.0,node1transit_node404source,C,timber,node1node404,1.0
C_node1node404_timber_t2,0.0,node1transit_node404source,C,timber,node1node404,2.0
C_node1node404_timber_t3,0.0,node1transit_node404source,C,timber,node1node404,3.0
C_node1node404_timber_t4,-0.0,node1transit_node404source,C,timber,node1node404,4.0
C_node1node404_timber_t5,-0.0,node1transit_node404source,C,timber,node1node404,5.0
C_node1node404_wide_t0,0.0,node1transit_node404source,C,wide,node1node404,0.0
C_node1node404_wide_t1,0.0,node1transit_node404source,C,wide,node1node404,1.0
C_node1node404_wide_t2,0.0,node1transit_node404source,C,wide,node1node404,2.0
C_node1node404_wide_t3,0.0,node1transit_node404source,C,wide,node1node404,3.0
C_node1node404_wide_t4,0.0,node1transit_node404source,C,wide,node1node404,4.0
C_node1node404_wide_t5,0.0,node1transit_node404source,C,wide,node1node404,5.0
C_node1node420_timber_t0,0.0,node1transit_node420source,C,timber,node1node420,0.0
C_node1node420_timber_t1,1.0,node1transit_node420source,C,timber,node1node420,1.0
C_node1node420_timber_t2,0.0,node1transit_node420source,C,timber,node1node420,2.0
C_node1node420_timber_t3,0.0,node1transit_node420source,C,timber,node1node420,3.0
C_node1node420_timber_t4,-0.0,node1transit_node420source,C,timber,node1node420,4.0
C_node1node420_timber_t5,0.0,node1transit_node420source,C,timber,node1node420,5.0
C_node1node420_wide_t0,0.0,node1transit_node420source,C,wide,node1node420,0.0
C_node1node420_wide_t1,0.0,node1transit_node420source,C,wide,node1node420,1.0
C_node1node420_wide_t2,0.0,node1transit_node420source,C,wide,node1node420,2.0
C_node1node420_wide_t3,0.0,node1transit_node420source,C,wide,node1node420,3.0
C_node1node420_wide_t4,0.0,node1transit_node420source,C,wide,node1node420,4.0
C_node1node420_wide_t5,-0.0,node1transit_node420source,C,wide,node1node420,5.0
C_node1node434_timber_t0,0.0,node1transit_node434source,C,timber,node1node434,0.0
C_node1node434_timber_t1,0.0,node1transit_node434source,C,timber,node1node434,1.0
C_node1node434_timber_t2,0.0,node1transit_node434source,C,timber,node1node434,2.0
C_node1node434_timber_t3,0.0,node1transit_node434source,C,timber,node1node434,3.0
C_node1node434_timber_t4,0.0,node1transit_node434source,C,timber,node1node434,4.0
C_node1node434_timber_t5,0.0,node1transit_node434source,C,timber,node1node434,5.0
C_node1node434_wide_t0,0.0,node1transit_node434source,C,wide,node1node434,0.0
C_node1node434_wide_t1,0.0,node1transit_node434source,C,wide,node1node434,1.0
C_node1node434_wide_t2,0.0,node1transit_node434source,C,wide,node1node434,2.0
C_node1node434_wide_t3,0.0,node1transit_node434source,C,wide,node1node434,3.0
C_node1node434_wide_t4,0.0,node1transit_node434source,C,wide,node1node434,4.0
C_node1node434_wide_t5,0.0,node1transit_node434source,C,wide,node1node434,5.0
C_node2node288_timber_t0,0.0,node2transit_node288exit,C,timber,node2node288,0.0
C_node2node288_timber_t1,0.0,node2transit_node288exit,C,timber,node2node288,1.0
C_node2node288_timber_t2,0.0,node2transit_node288exit,C,timber,node2node288,2.0
C_node2node288_timber_t3,0.0,node2transit_node288exit,C,timber,node2node288,3.0
C_node2node288_timber_t4,0.0,node2transit_node288exit,C,timber,node2node288,4.0
C_node2node288_timber_t5,0.0,node2transit_node288exit,C,timber,node2node288,5.0
C_node2node288_wide_t0,0.0,node2transit_node288exit,C,wide,node2node288,0.0
C_node2node288_wide_t1,0.0,node2transit_node288exit,C,wide,node2node288,1.0
C_node2node288_wide_t2,0.0,node2transit_node288exit,C,wide,node2node288,2.0
C_node2node288_wide_t3,0.0,node2transit_node288exit,C,wide,node2node288,3.0
C_node2node288_wide_t4,0.0,node2transit_node288exit,C,wide,node2node288,4.0
C_node2node288_wide_t5,0.0,node2transit_node288exit,C,wide,node2node288,5.0
C_node2node287_timber_t0,0.0,node2transit_node287exit,C,timber,node2node287,0.0
C_node2node287_timber_t1,0.0,node2transit_node287exit,C,timber,node2node287,1.0
C_node2node287_timber_t2,0.0,node2transit_node287exit,C,timber,node2node287,2.0
C_node2node287_timber_t3,0.0,node2transit_node287exit,C,timber,node2node287,3.0
C_node2node287_timber_t4,0.0,node2transit_node287exit,C,timber,node2node287,4.0
C_node2node287_timber_t5,0.0,node2transit_node287exit,C,timber,node2node287,5.0
C_node2node287_wide_t0,0.0,node2transit_node287exit,C,wide,node2node287,0.0
C_node2node287_wide_t1,-0.0,node2transit_node287exit,C,wide,node2node287,1.0
C_node2node287_wide_t2,0.0,node2transit_node287exit,C,wide,node2node287,2.0
C_node2node287_wide_t3,0.0,node2transit_node287exit,C,wide,node2node287,3.0
C_node2node287_wide_t4,0.0,node2transit_node287exit,C,wide,node2node287,4.0
C_node2node287_wide_t5,0.0,node2transit_node287exit,C,wide,node2node287,5.0
C_node2node78_timber_t0,0.0,node2transit_node78transit,C,timber,node2node78,0.0
C_node2node78_timber_t1,0.0,node2transit_node78transit,C,timber,node2node78,1.0
C_node2node78_timber_t2,0.0,node2transit_node78transit,C,timber,node2node78,2.0
C_node2node78_timber_t3,0.0,node2transit_node78transit,C,timber,node2node78,3.0
C_node2node78_timber_t4,0.0,node2transit_node78transit,C,timber,node2node78,4.0
C_node2node78_timber_t5,0.0,node2transit_node78transit,C,timber,node2node78,5.0
C_node2node78_wide_t0,0.0,node2transit_node78transit,C,wide,node2node78,0.0
C_node2node78_wide_t1,0.0,node2transit_node78transit,C,wide,node2node78,1.0
C_node2node78_wide_t2,0.0,node2transit_node78transit,C,wide,node2node78,2.0
C_node2node78_wide_t3,0.0,node2transit_node78transit,C,wide,node2node78,3.0
C_node2node78_wide_t4,0.0,node2transit_node78transit,C,wide,node2node78,4.0
C_node2node78_wide_t5,0.0,node2transit_node78transit,C,wide,node2node78,5.0
C_node2node377_timber_t0,0.0,node2transit_node377source,C,timber,node2node377,0.0
C_node2node377_timber_t1,1.0,node2transit_node377source,C,timber,node2node377,1.0
C_node2node377_timber_t2,0.0,node2transit_node377source,C,timber,node2node377,2.0
C_node2node377_timber_t3,0.0,node2transit_node377source,C,timber,node2node377,3.0
C_node2node377_timber_t4,-0.0,node2transit_node377source,C,timber,node2node377,4.0
C_node2node377_timber_t5,-0.0,node2transit_node377source,C,timber,node2node377,5.0
C_node2node377_wide_t0,0.0,node2transit_node377source,C,wide,node2node377,0.0
C_node2node377_wide_t1,0.0,node2transit_node377source,C,wide,node2node377,1.0
C_node2node377_wide_t2,0.0,node2transit_node377source,C,wide,node2node377,2.0
C_node2node377_wide_t3,0.0,node2transit_node377source,C,wide,node2node377,3.0
C_node2node377_wide_t4,0.0,node2transit_node377source,C,wide,node2node377,4.0
C_node2node377_wide_t5,0.0,node2transit_node377source,C,wide,node2node377,5.0
C_node2node378_timber_t0,0.0,node2transit_node378source,C,timber,node2node378,0.0
C_node2node378_timber_t1,1.0,node2transit_node378source,C,timber,node2node378,1.0
C_node2node378_timber_t2,0.0,node2transit_node378source,C,timber,node2node378,2.0
C_node2node378_timber_t3,0.0,node2transit_node378source,C,timber,node2node378,3.0
C_node2node378_timber_t4,-0.0,node2transit_node378source,C,timber,node2node378,4.0
C_node2node378_timber_t5,0.0,node2transit_node378source,C,timber,node2node378,5.0
C_node2node378_wide_t0,0.0,node2transit_node378source,C,wide,node2node378,0.0
C_node2node378_wide_t1,0.0,node2transit_node378source,C,wide,node2node378,1.0
C_node2node378_wide_t2,0.0,node2transit_node378source,C,wide,node2node378,2.0
C_node2node378_wide_t3,0.0,node2transit_node378source,C,wide,node2node378,3.0
C_node2node378_wide_t4,0.0,node2transit_node378source,C,wide,node2node378,4.0
C_node2node378_wide_t5,-0.0,node2transit_node378source,C,wide,node2node378,5.0
C_node2node380_timber_t0,0.0,node2transit_node380source,C,timber,node2node380,0.0
C_node2node380_timber_t1,1.0,node2transit_node380source,C,timber,node2node380,1.0
C_node2node380_timber_t2,0.0,node2transit_node380source,C,timber,node2node380,2.0
C_node2node380_timber_t3,0.0,node2transit_node380source,C,timber,node2node380,3.0
C_node2node380_timber_t4,-0.0,node2transit_node380source,C,timber,node2node380,4.0
C_node2node380_timber_t5,-0.0,node2transit_node380source,C,timber,node2node380,5.0
C_node2node380_wide_t0,0.0,node2transit_node380source,C,wide,node2node380,0.0
C_node2node380_wide_t1,0.0,node2transit_node380source,C,wide,node2node380,1.0
C_node2node380_wide_t2,0.0,node2transit_node380source,C,wide,node2node380,2.0
C_node2node380_wide_t3,0.0,node2transit_node380source,C,wide,node2node380,3.0
C_node2node380_wide_t4,0.0,node2transit_node380source,C,wide,node2node380,4.0
C_node2node380_wide_t5,0.0,node2transit_node380source,C,wide,node2node380,5.0
C_node3node192_timber_t0,0.0,node3exit_node192transit,C,timber,node3node192,0.0
C_node3node192_timber_t1,0.0,node3exit_node192transit,C,timber,node3node192,1.0
C_node3node192_timber_t2,0.0,node3exit_node192transit,C,timber,node3node192,2.0
C_node3node192_timber_t3,0.0,node3exit_node192transit,C,timber,node3node192,3.0
C_node3node192_timber_t4,0.0,node3exit_node192transit,C,timber,node3node192,4.0
C_node3node192_timber_t5,0.0,node3exit_node192transit,C,timber,node3node192,5.0
C_node3node192_wide_t0,0.0,node3exit_node192transit,C,wide,node3node192,0.0
C_node3node192_wide_t1,0.0,node3exit_node192transit,C,wide,node3node192,1.0
C_node3node192_wide_t2,0.0,node3exit_node192transit,C,wide,node3node192,2.0
C_node3node192_wide_t3,0.0,node3exit_node192transit,C,wide,node3node192,3.0
C_node3node192_wide_t4,0.0,node3exit_node192transit,C,wide,node3node192,4.0
C_node3node192_wide_t5,0.0,node3exit_node192transit,C,wide,node3node192,5.0
C_node3node264_timber_t0,0.0,node3exit_node264exit,C,timber,node3node264,0.0
C_node3node264_timber_t1,0.0,node3exit_node264exit,C,timber,node3node264,1.0
C_node3node264_timber_t2,0.0,node3exit_node264exit,C,timber,node3node264,2.0
C_node3node264_timber_t3,0.0,node3exit_node264exit,C,timber,node3node264,3.0
C_node3node264_timber_t4,0.0,node3exit_node264exit,C,timber,node3node264,4.0
C_node3node264_timber_t5,0.0,node3exit_node264exit,C,timber,node3node264,5.0
C_node3node264_wide_t0,0.0,node3exit_node264exit,C,wide,node3node264,0.0
C_node3node264_wide_t1,0.0,node3exit_node264exit,C,wide,node3node264,1.0
C_node3node264_wide_t2,0.0,node3exit_node264exit,C,wide,node3node264,2.0
C_node3node264_wide_t3,0.0,node3exit_node264exit,C,wide,node3node264,3.0
C_node3node264_wide_t4,0.0,node3exit_node264exit,C,wide,node3node264,4.0
C_node3node264_wide_t5,0.0,node3exit_node264exit,C,wide,node3node264,5.0
C_node3node362_timber_t0,0.0,node3exit_node362source,C,timber,node3node362,0.0
C_node3node362_timber_t1,0.0,node3exit_node362source,C,timber,node3node362,1.0
C_node3node362_timber_t2,0.0,node3exit_node362source,C,timber,node3node362,2.0
C_node3node362_timber_t3,0.0,node3exit_node362source,C,timber,node3node362,3.0
C_node3node362_timber_t4,0.0,node3exit_node362source,C,timber,node3node362,4.0
C_node3node362_timber_t5,0.0,node3exit_node362source,C,timber,node3node362,5.0
C_node3node362_wide_t0,0.0,node3exit_node362source,C,wide,node3node362,0.0
C_node3node362_wide_t1,0.0,node3exit_node362source,C,wide,node3node362,1.0
C_node3node362_wide_t2,0.0,node3exit_node362source,C,wide,node3node362,2.0
C_node3node362_wide_t3,0.0,node3exit_node362source,C,wide,node3node362,3.0
C_node3node362_wide_t4,0.0,node3exit_node362source,C,wide,node3node362,4.0
C_node3node362_wide_t5,0.0,node3exit_node362source,C,wide,node3node362,5.0
C_node4node37_timber_t0,0.0,node4transit_node37transit,C,timber,node4node37,0.0
C_node4node37_timber_t1,0.0,node4transit_node37transit,C,timber,node4node37,1.0
C_node4node37_timber_t2,0.0,node4transit_node37transit,C,timber,node4node37,2.0
C_node4node37_timber_t3,0.0,node4transit_node37transit,C,timber,node4node37,3.0
C_node4node37_timber_t4,0.0,node4transit_node37transit,C,timber,node4node37,4.0
C_node4node37_timber_t5,0.0,node4transit_node37transit,C,timber,node4node37,5.0
C_node4node37_wide_t0,0.0,node4transit_node37transit,C,wide,node4node37,0.0
C_node4node37_wide_t1,0.0,node4transit_node37transit,C,wide,node4node37,1.0
C_node4node37_wide_t2,0.0,node4transit_node37transit,C,wide,node4node37,2.0
C_node4node37_wide_t3,0.0,node4transit_node37transit,C,wide,node4node37,3.0
C_node4node37_wide_t4,0.0,node4transit_node37transit,C,wide,node4node37,4.0
C_node4node37_wide_t5,0.0,node4transit_node37transit,C,wide,node4node37,5.0
C_node4node89_timber_t0,0.0,node4transit_node89exit,C,timber,node4node89,0.0
C_node4node89_timber_t1,0.0,node4transit_node89exit,C,timber,node4node89,1.0
C_node4node89_timber_t2,0.0,node4transit_node89exit,C,timber,node4node89,2.0
C_node4node89_timber_t3,0.0,node4transit_node89exit,C,timber,node4node89,3.0
C_node4node89_timber_t4,0.0,node4transit_node89exit,C,timber,node4node89,4.0
C_node4node89_timber_t5,0.0,node4transit_node89exit,C,timber,node4node89,5.0
C_node4node89_wide_t0,0.0,node4transit_node89exit,C,wide,node4node89,0.0
C_node4node89_wide_t1,0.0,node4transit_node89exit,C,wide,node4node89,1.0
C_node4node89_wide_t2,0.0,node4transit_node89exit,C,wide,node4node89,2.0
C_node4node89_wide_t3,0.0,node4transit_node89exit,C,wide,node4node89,3.0
C_node4node89_wide_t4,0.0,node4transit_node89exit,C,wide,node4node89,4.0
C_node4node89_wide_t5,0.0,node4transit_node89exit,C,wide,node4node89,5.0
C_node4node8_timber_t0,0.0,node4transit_node8exit,C,timber,node4node8,0.0
C_node4node8_timber_t1,0.0,node4transit_node8exit,C,timber,node4node8,1.0
C_node4node8_timber_t2,0.0,node4transit_node8exit,C,timber,node4node8,2.0
C_node4node8_timber_t3,0.0,node4transit_node8exit,C,timber,node4node8,3.0
C_node4node8_timber_t4,0.0,node4transit_node8exit,C,timber,node4node8,4.0
C_node4node8_timber_t5,0.0,node4transit_node8exit,C,timber,node4node8,5.0
C_node4node8_wide_t0,0.0,node4transit_node8exit,C,wide,node4node8,0.0
C_node4node8_wide_t1,-0.0,node4transit_node8exit,C,wide,node4node8,1.0
C_node4node8_wide_t2,0.0,node4transit_node8exit,C,wide,node4node8,2.0
C_node4node8_wide_t3,0.0,node4transit_node8exit,C,wide,node4node8,3.0
C_node4node8_wide_t4,0.0,node4transit_node8exit,C,wide,node4node8,4.0
C_node4node8_wide_t5,0.0,node4transit_node8exit,C,wide,node4node8,5.0
C_node4node366_timber_t0,0.0,node4transit_node366source,C,timber,node4node366,0.0
C_node4node366_timber_t1,1.0,node4transit_node366source,C,timber,node4node366,1.0
C_node4node366_timber_t2,0.0,node4transit_node366source,C,timber,node4node366,2.0
C_node4node366_timber_t3,0.0,node4transit_node366source,C,timber,node4node366,3.0
C_node4node366_timber_t4,-0.0,node4transit_node366source,C,timber,node4node366,4.0
C_node4node366_timber_t5,-0.0,node4transit_node366source,C,timber,node4node366,5.0
C_node4node366_wide_t0,0.0,node4transit_node366source,C,wide,node4node366,0.0
C_node4node366_wide_t1,0.0,node4transit_node366source,C,wide,node4node366,1.0
C_node4node366_wide_t2,0.0,node4transit_node366source,C,wide,node4node366,2.0
C_node4node366_wide_t3,0.0,node4transit_node366source,C,wide,node4node366,3.0
C_node4node366_wide_t4,0.0,node4transit_node366source,C,wide,node4node366,4.0
C_node4node366_wide_t5,0.0,node4transit_node366source,C,wide,node4node366,5.0
C_node4node368_timber_t0,0.0,node4transit_node368source,C,timber,node4node368,0.0
C_node4node368_timber_t1,1.0,node4transit_node368source,C,timber,node4node368,1.0
C_node4node368_timber_t2,0.0,node4transit_node368source,C,timber,node4node368,2.0
C_node4node368_timber_t3,0.0,node4transit_node368source,C,timber,node4node368,3.0
C_node4node368_timber_t4,-0.0,node4transit_node368source,C,timber,node4node368,4.0
C_node4node368_timber_t5,0.0,node4transit_node368source,C,timber,node4node368,5.0
C_node4node368_wide_t0,0.0,node4transit_node368source,C,wide,node4node368,0.0
C_node4node368_wide_t1,0.0,node4transit_node368source,C,wide,node4node368,1.0
C_node4node368_wide_t2,0.0,node4transit_node368source,C,wide,node4node368,2.0
C_node4node368_wide_t3,0.0,node4transit_node368source,C,wide,node4node368,3.0
C_node4node368_wide_t4,0.0,node4transit_node368source,C,wide,node4node368,4.0
C_node4node368_wide_t5,-0.0,node4transit_node368source,C,wide,node4node368,5.0
C_node4node376_timber_t0,0.0,node4transit_node376source,C,timber,node4node376,0.0
C_node4node376_timber_t1,0.0,node4transit_node376source,C,timber,node4node376,1.0
C_node4node376_timber_t2,0.0,node4transit_node376source,C,timber,node4node376,2.0
C_node4node376_timber_t3,0.0,node4transit_node376source,C,timber,node4node376,3.0
C_node4node376_timber_t4,0.0,node4transit_node376source,C,timber,node4node376,4.0
C_node4node376_timber_t5,0.0,node4transit_node376source,C,timber,node4node376,5.0
C_node4node376_wide_t0,0.0,node4transit_node376source,C,wide,node4node376,0.0
C_node4node376_wide_t1,0.0,node4transit_node376source,C,wide,node4node376,1.0
C_node4node376_wide_t2,0.0,node4transit_node376source,C,wide,node4node376,2.0
C_node4node376_wide_t3,0.0,node4transit_node376source,C,wide,node4node376,3.0
C_node4node376_wide_t4,0.0,node4transit_node376source,C,wide,node4node376,4.0
C_node4node376_wide_t5,0.0,node4transit_node376source,C,wide,node4node376,5.0
C_node5node347_timber_t0,0.0,node5transit_node347exit,C,timber,node5node347,0.0
C_node5node347_timber_t1,0.0,node5transit_node347exit,C,timber,node5node347,1.0
C_node5node347_timber_t2,0.0,node5transit_node347exit,C,timber,node5node347,2.0
C_node5node347_timber_t3,1.0,node5transit_node347exit,C,timber,node5node347,3.0
C_node5node347_timber_t4,0.0,node5transit_node347exit,C,timber,node5node347,4.0
C_node5node347_timber_t5,0.0,node5transit_node347exit,C,timber,node5node347,5.0
C_node5node347_wide_t0,0.0,node5transit_node347exit,C,wide,node5node347,0.0
C_node5node347_wide_t1,0.0,node5transit_node347exit,C,wide,node5node347,1.0
C_node5node347_wide_t2,0.0,node5transit_node347exit,C,wide,node5node347,2.0
C_node5node347_wide_t3,0.0,node5transit_node347exit,C,wide,node5node347,3.0
C_node5node347_wide_t4,0.0,node5transit_node347exit,C,wide,node5node347,4.0
C_node5node347_wide_t5,0.0,node5transit_node347exit,C,wide,node5node347,5.0
C_node5node176_timber_t0,0.0,node5transit_node176transit,C,timber,node5node176,0.0
C_node5node176_timber_t1,0.0,node5transit_node176transit,C,timber,node5node176,1.0
C_node5node176_timber_t2,0.0,node5transit_node176transit,C,timber,node5node176,2.0
C_node5node176_timber_t3,0.0,node5transit_node176transit,C,timber,node5node176,3.0
C_node5node176_timber_t4,0.0,node5transit_node176transit,C,timber,node5node176,4.0
C_node5node176_timber_t5,0.0,node5transit_node176transit,C,timber,node5node176,5.0
C_node5node176_wide_t0,0.0,node5transit_node176transit,C,wide,node5node176,0.0
C_node5node176_wide_t1,0.0,node5transit_node176transit,C,wide,node5node176,1.0
C_node5node176_wide_t2,0.0,node5transit_node176transit,C,wide,node5node176,2.0
C_node5node176_wide_t3,0.0,node5transit_node176transit,C,wide,node5node176,3.0
C_node5node176_wide_t4,0.0,node5transit_node176transit,C,wide,node5node176,4.0
C_node5node176_wide_t5,0.0,node5transit_node176transit,C,wide,node5node176,5.0
C_node5node114_timber_t0,0.0,node5transit_node114transit,C,timber,node5node114,0.0
C_node5node114_timber_t1,0.0,node5transit_node114transit,C,timber,node5node114,1.0
C_node5node114_timber_t2,0.0,node5transit_node114transit,C,timber,node5node114,2.0
C_node5node114_timber_t3,1.0,node5transit_node114transit,C,timber,node5node114,3.0
C_node5node114_timber_t4,0.0,node5transit_node114transit,C,timber,node5node114,4.0
C_node5node114_timber_t5,0.0,node5transit_node114transit,C,timber,node5node114,5.0
C_node5node114_wide_t0,0.0,node5transit_node114transit,C,wide,node5node114,0.0
C_node5node114_wide_t1,0.0,node5transit_node114transit,C,wide,node5node114,1.0
C_node5node114_wide_t2,0.0,node5transit_node114transit,C,wide,node5node114,2.0
C_node5node114_wide_t3,0.0,node5transit_node114transit,C,wide,node5node114,3.0
C_node5node114_wide_t4,0.0,node5transit_node114transit,C,wide,node5node114,4.0
C_node5node114_wide_t5,0.0,node5transit_node114transit,C,wide,node5node114,5.0
C_node5node436_timber_t0,0.0,node5transit_node436source,C,timber,node5node436,0.0
C_node5node436_timber_t1,0.0,node5transit_node436source,C,timber,node5node436,1.0
C_node5node436_timber_t2,0.0,node5transit_node436source,C,timber,node5node436,2.0
C_node5node436_timber_t3,0.0,node5transit_node436source,C,timber,node5node436,3.0
C_node5node436_timber_t4,0.0,node5transit_node436source,C,timber,node5node436,4.0
C_node5node436_timber_t5,0.0,node5transit_node436source,C,timber,node5node436,5.0
C_node5node436_wide_t0,0.0,node5transit_node436source,C,wide,node5node436,0.0
C_node5node436_wide_t1,0.0,node5transit_node436source,C,wide,node5node436,1.0
C_node5node436_wide_t2,0.0,node5transit_node436source,C,wide,node5node436,2.0
C_node5node436_wide_t3,0.0,node5transit_node436source,C,wide,node5node436,3.0
C_node5node436_wide_t4,0.0,node5transit_node436source,C,wide,node5node436,4.0
C_node5node436_wide_t5,0.0,node5transit_node436source,C,wide,node5node436,5.0
C_node5node438_timber_t0,0.0,node5transit_node438source,C,timber,node5node438,0.0
C_node5node438_timber_t1,0.0,node5transit_node438source,C,timber,node5node438,1.0
C_node5node438_timber_t2,1.0,node5transit_node438source,C,timber,node5node438,2.0
C_node5node438_timber_t3,0.0,node5transit_node438source,C,timber,node5node438,3.0
C_node5node438_timber_t4,0.0,node5transit_node438source,C,timber,node5node438,4.0
C_node5node438_timber_t5,0.0,node5transit_node438source,C,timber,node5node438,5.0
C_node5node438_wide_t0,0.0,node5transit_node438source,C,wide,node5node438,0.0
C_node5node438_wide_t1,0.0,node5transit_node438source,C,wide,node5node438,1.0
C_node5node438_wide_t2,0.0,node5transit_node438source,C,wide,node5node438,2.0
C_node5node438_wide_t3,0.0,node5transit_node438source,C,wide,node5node438,3.0
C_node5node438_wide_t4,0.0,node5transit_node438source,C,wide,node5node438,4.0
C_node5node438_wide_t5,0.0,node5transit_node438source,C,wide,node5node438,5.0
C_node5node439_timber_t0,0.0,node5transit_node439source,C,timber,node5node439,0.0
C_node5node439_timber_t1,0.0,node5transit_node439source,C,timber,node5node439,1.0
C_node5node439_timber_t2,0.0,node5transit_node439source,C,timber,node5node439,2.0
C_node5node439_timber_t3,0.0,node5transit_node439source,C,timber,node5node439,3.0
C_node5node439_timber_t4,0.0,node5transit_node439source,C,timber,node5node439,4.0
C_node5node439_timber_t5,0.0,node5transit_node439source,C,timber,node5node439,5.0
C_node5node439_wide_t0,0.0,node5transit_node439source,C,wide,node5node439,0.0
C_node5node439_wide_t1,0.0,node5transit_node439source,C,wide,node5node439,1.0
C_node5node439_wide_t2,0.0,node5transit_node439source,C,wide,node5node439,2.0
C_node5node439_wide_t3,0.0,node5transit_node439source,C,wide,node5node439,3.0
C_node5node439_wide_t4,0.0,node5transit_node439source,C,wide,node5node439,4.0
C_node5node439_wide_t5,0.0,node5transit_node439source,C,wide,node5node439,5.0
C_node6node92_timber_t0,0.0,node6transit_node92exit,C,timber,node6node92,0.0
C_node6node92_timber_t1,0.0,node6transit_node92exit,C,timber,node6node92,1.0
C_node6node92_timber_t2,0.0,node6transit_node92exit,C,timber,node6node92,2.0
C_node6node92_timber_t3,0.0,node6transit_node92exit,C,timber,node6node92,3.0
C_node6node92_timber_t4,0.0,node6transit_node92exit,C,timber,node6node92,4.0
C_node6node92_timber_t5,0.0,node6transit_node92exit,C,timber,node6node92,5.0
C_node6node92_wide_t0,0.0,node6transit_node92exit,C,wide,node6node92,0.0
C_node6node92_wide_t1,0.0,node6transit_node92exit,C,wide,node6node92,1.0
C_node6node92_wide_t2,0.0,node6transit_node92exit,C,wide,node6node92,2.0
C_node6node92_wide_t3,0.0,node6transit_node92exit,C,wide,node6node92,3.0
C_node6node92_wide_t4,0.0,node6transit_node92exit,C,wide,node6node92,4.0
C_node6node92_wide_t5,0.0,node6transit_node92exit,C,wide,node6node92,5.0
C_node6node36_timber_t0,0.0,node6transit_node36transit,C,timber,node6node36,0.0
C_node6node36_timber_t1,0.0,node6transit_node36transit,C,timber,node6node36,1.0
C_node6node36_timber_t2,0.0,node6transit_node36transit,C,timber,node6node36,2.0
C_node6node36_timber_t3,0.0,node6transit_node36transit,C,timber,node6node36,3.0
C_node6node36_timber_t4,0.0,node6transit_node36transit,C,timber,node6node36,4.0
C_node6node36_timber_t5,0.0,node6transit_node36transit,C,timber,node6node36,5.0
C_node6node36_wide_t0,0.0,node6transit_node36transit,C,wide,node6node36,0.0
C_node6node36_wide_t1,0.0,node6transit_node36transit,C,wide,node6node36,1.0
