OBJECTID,TARGET_FID,LandUse_1,Ocupacao,ID_UG,NOME,YY_correct,XX_Correct,Altitude,Declive,Litologia,Relevo,Uso,Espessura,Apt_flor,Solo,Classifica,Perimetro,Area,Hectares,UsoSolo20,Shape_Leng,Shape_Area,HBC,CH,CBD,CC,geometry
335,1053,1,EcEc_2_5_1_Pv,1145,Castelo de Paiva,143887.898215,-13074.297466,429.0,32.126,x,m,i,3,Marginal,Ru1.1,Regossolos,1022.15879568,49474.9671328,4.94749671328,Clareira,1022.15872451,49474.9648344,0.0,0.0,0.0,0.0,"POLYGON ((-12764.346099999733 143685.43539999984, -12841.20129999984 143667.12380000018, -12985.099600000307 143651.78969999962, -13031.299499999732 143646.8836000003, -13008.593899999745 143804.2723999992, -12964.85840000026 143787.60280000046, -12908.401800000109 143818.32499999925, -12832.882100000046 143843.67380000092, -12771.503299999982 143834.39729999937, -12705.351400000043 143820.99019999988, -12641.256699999794 143839.2137000002, -12665.087299999781 143772.80749999918, -12741.807500000112 143723.58049999923, -12764.346099999733 143685.43539999984))"
842,731,1,EcEc_3_4_1_Pv,809,Castelo de Paiva,145485.163673,-15349.8658723,135.0,10.2473,x,m,i,3,Marginal,Ru1.1,Regossolos,2568.32167825,201421.24106,20.142124106,Eucalipto,2568.32171844,201421.250232,2.9,0.0,0.0,0.0,"POLYGON ((-14904.289200000465 145577.03580000065, -14823.710199999623 145540.61480000056, -14755.759899999946 145485.87060000002, -14743.984199999832 145432.36170000024, -14798.615100000054 145380.01139999926, -14845.020899999887 145300.89100000076, -14895.285799999721 145266.65029999986, -15021.449199999683 145239.93439999968, -15079.742600000463 145218.9280999992, -15154.919800000265 145188.4129000008, -15233.22009999957 145187.0072000008, -15201.967199999839 145129.15249999985, -15271.594100000337 145102.01590000093, -15309.54339999985 145126.73299999908, -15331.413800000213 145187.8214999996, -15384.501500000246 145208.15819999948, -15392.23060000036 145119.34500000067, -15435.459800000302 145146.22839999944, -15458.038999999873 145182.4776000008, -15512.092899999581 145153.28490000032, -15551.085500000045 145071.97699999996, -15613.356300000101 145149.28130000085, -15610.4888000004 145205.9944000002, -15580.58449999988 145255.22330000065, -15530.090300000273 145282.96309999935, -15448.045400000177 145284.8345999997, -15423.961400000378 145286.91420000046, -15383.313500000164 145318.51960000023, -15356.855100000277 145308.99450000003, -15342.11959999986 145287.80460000038, -15313.57610000018 145287.44109999947, -15283.830000000075 145315.3445999995, -15268.264299999923 145355.6269000005, -15258.149199999869 145363.20720000006, -15238.251299999654 145420.25500000082, -15237.673399999738 145421.9121000003, -15232.569799999706 145435.57699999958, -15231.669400000013 145437.9877000004, -15228.893500000238 145445.41999999993, -15227.775299999863 145448.4140000008, -15223.655799999833 145459.44400000013, -15220.491499999538 145467.91650000028, -15219.18489999976 145471.4149999991, -15210.084999999963 145495.77979999967, -15159.905700000003 145532.54590000026, -15086.446000000462 145576.76559999958, -15063.167000000365 145557.70340000093, -15022.685700000264 145583.10349999927, -14998.873200000264 145588.65960000083, -14986.966799999587 145602.9472000003, -14980.308600000106 145615.50019999966, -14944.81240000017 145597.53969999962, -14904.289200000465 145577.03580000065))"
1068,993,1,EcEc_1_Np,1068,Castelo de Paiva,147036.076075,-15583.7326584,224.0,25.8286,x,m,i,3,Marginal,Ru1.1,Regossolos,1197.40464453,49100.8452001,4.91008452001,Eucalipto,1197.40447285,49100.8405612,2.9,0.0,0.0,0.0,"POLYGON ((-15349.335900000297 147053.14350000024, -15338.75250000041 147028.00789999962, -15336.365500000305 147022.75650000013, -15328.830599999987 147006.17980000004, -15319.064000000246 146989.99870000035, -15294.4347000001 146929.31819999963, -15287.158699999563 146886.32330000028, -15285.174300000072 146840.02119999938, -15291.788900000043 146802.9793999996, -15289.143000000156 146781.15130000003, -15262.552600000054 146770.98460000008, -15293.604500000365 146740.91740000062, -15314.03239999991 146700.18229999952, -15358.362300000153 146677.65350000001, -15396.017699999735 146748.37040000036, -15426.797799999826 146812.63079999946, -15434.08430000022 146868.41520000063, -15464.637400000356 146928.8166000005, -15453.793600000441 146982.65919999965, -15411.648699999787 146987.10319999978, -15396.964300000109 147002.9782999996, -15395.059299999848 147029.99239999987, -15415.114799999632 147070.10319999978, -15423.634399999864 147087.14240000024, -15415.167600000277 147116.7759000007, -15406.803199999966 147133.6353999991, -15393.844399999827 147159.75549999997, -15383.679899999872 147180.24349999987, -15363.838399999775 147183.27899999917, -15367.860000000335 147126.97560000047, -15371.593999999575 147106.18249999918, -15366.384700000286 147099.25980000012, -15365.210900000297 147071.6643000003, -15349.335900000297 147053.14350000024))"
1071,996,1,EcEc_3_Np,1071,Castelo de Paiva,146721.436432,-15630.0574303,254.0,19.4408,x,m,i,3,Marginal,Ru1.1,Regossolos,2121.51083304,103723.345947,10.3723345947,Eucalipto,2121.51064979,103723.355528,2.9,0.0,0.0,0.0,"POLYGON ((-15381.048000000417 146181.40899999999, -15381.042799999937 146181.43129999936, -15381.021399999969 146181.52979999967, -15380.930599999614 146181.94299999997, -15380.529000000097 146183.76889999956, -15375.678100000136 146205.8236999996, -15368.273299999535 146239.49010000005, -15367.47279999964 146243.12969999947, -15364.410600000061 146255.50620000064, -15358.145100000314 146280.82960000075, -15350.428700000048 146312.0167999994, -15370.204300000332 146367.2407000009, -15410.020399999805 146410.1701999996, -15413.175699999556 146485.53680000082, -15480.062099999748 146522.04309999943, -15510.332600000314 146570.88800000027, -15516.152499999851 146622.80370000005, -15541.417000000365 146671.94299999997, -15539.381799999624 146673.1484999992, -15523.223699999973 146682.71939999983, -15516.080000000075 146700.9757000003, -15523.620600000024 146732.32890000008, -15532.748700000346 146759.71330000088, -15553.161700000055 146776.8298000004, -15560.13320000004 146782.7321000006, -15566.086299999617 146800.59149999917, -15560.168800000101 146820.46160000004, -15552.724799999967 146837.6135000009, -15549.020600000396 146866.18840000033, -15549.549800000153 146882.59270000085, -15553.429899999872 146940.26439999975, -15553.253999999724 146959.32200000063, -15544.25810000021 146982.07619999908, -15522.873999999836 146982.85490000062, -15453.793600000441 146982.65919999965, -15464.637400000356 146928.8166000005, -15434.08430000022 146868.41520000063, -15426.797799999826 146812.63079999946, -15396.017699999735 146748.37040000036, -15358.362300000153 146677.65350000001, -15361.202800000086 146613.25320000015, -15342.062199999578 146591.2723999992, -15342.477199999616 146590.98929999955, -15311.35580000002 146544.43659999967, -15278.977099999785 146513.2017000001, -15309.139600000344 146483.03910000063, -15301.327200000174 146430.63770000078, -15248.814500000328 146387.7890000008, -15213.79870000016 146370.26520000026, -15256.93489999976 146363.97499999963, -15278.805499999784 146289.5167999994, -15289.03239999991 146227.3289999999, -15298.92679999955 146179.8660000004, -15321.39960000012 146136.75980000012, -15369.031899999827 146123.05399999954, -15385.011500000022 146163.38829999976, -15381.056599999778 146181.3696999997, -15381.048000000417 146181.40899999999))"
1072,997,1,EcEc_3_Np,1072,Castelo de Paiva,146400.205611,-15287.9089514,246.0,21.4855,x,m,i,3,Marginal,Ru1.1,Regossolos,1452.03898848,59626.8335318,5.96268335318,Eucalipto,1452.03913745,59626.8360725,2.9,0.0,0.0,0.0,"POLYGON ((-14794.20129999984 146332.78749999963, -14850.485700000077 146304.1777999997, -14902.964999999851 146258.3702000007, -14967.439799999818 146230.58799999952, -15048.503800000064 146223.70079999976, -15101.837500000373 146202.9280999992, -15154.415400000289 146158.6649999991, -15154.509300000034 146158.54199999943, -15154.5597000001 146159.00769999996, -15204.767300000414 146093.29920000024, -15256.173299999908 146061.73059999943, -15267.155500000343 146112.40750000067, -15248.665900000371 146182.5507999994, -15242.831000000238 146256.34979999997, -15225.30449999962 146317.53700000048, -15212.723600000143 146370.05819999985, -15137.941800000146 146314.30619999953, -15059.515800000168 146324.32239999995, -15002.152599999681 146329.51520000026, -14958.35309999995 146341.7458999995, -14855.433000000194 146361.6490000002, -14820.856599999592 146412.60840000026, -14778.633999999613 146426.80890000053, -14790.057900000364 146378.77830000035, -14794.3833999997 146333.03109999932, -14794.20129999984 146332.78749999963))"
1074,999,1,EcEc_3_Np,1074,Castelo de Paiva,146224.465935,-15287.5550772,246.0,21.4855,x,m,i,3,Marginal,Ru1.1,Regossolos,1575.69025947,67216.562299,6.7216562299,Eucalipto,1575.69027797,67216.569111,2.9,0.0,0.0,0.0,"POLYGON ((-14761.303999999538 146289.6486000009, -14761.022499999963 146289.27180000022, -14775.85570000019 146248.5683999993, -14814.018099999987 146226.32100000046, -14852.59240000043 146199.42259999923, -14909.90739999991 146188.52500000037, -14971.362900000066 146174.89360000007, -15012.517500000075 146136.2126000002, -15023.347299999557 146111.9012000002, -15031.424499999732 146093.76930000074, -15062.933100000024 146060.32799999975, -15084.438400000334 146019.89699999988, -15110.515100000426 145961.4129000008, -15132.740199999884 145902.14609999955, -15158.217199999839 145848.52930000052, -15232.321499999613 145844.57829999924, -15232.526300000027 145844.7059000004, -15232.465699999593 145844.92090000026, -15292.8236999996 145882.5388999991, -15282.15500000026 145929.1411000006, -15245.537600000389 145986.6579, -15170.661000000313 146057.99929999933, -15147.546900000423 146095.16449999996, -15154.415400000289 146158.6649999991, -15101.837500000373 146202.9280999992, -15048.503800000064 146223.70079999976, -14967.439799999818 146230.58799999952, -14902.964999999851 146258.3702000007, -14850.485700000077 146304.1777999997, -14794.20129999984 146332.78749999963, -14761.684000000358 146289.27190000005, -14761.303999999538 146289.6486000009))"
1075,1000,1,EcEc_2_Np,1075,Castelo de Paiva,146213.378019,-15092.8772482,190.0,20.1344,x,m,i,3,Marginal,Ru1.1,Regossolos,1076.69838507,69784.61586,6.978461586,Eucalipto,1076.69859244,69784.6138062,2.9,0.0,0.0,0.0,"POLYGON ((-14730.686400000006 146075.2006000001, -14720.929999999702 146024.1132999994, -14766.469100000337 145983.15240000002, -14824.606100000441 145984.26239999942, -14829.640599999577 145965.97660000063, -14849.172399999574 145957.3780000005, -14874.572499999776 145927.21550000086, -14917.43499999959 145912.13419999927, -14967.720599999651 145927.79260000028, -15005.541500000283 145960.55299999937, -14999.297199999914 146002.12670000084, -15034.513399999589 145994.56519999914, -15021.284199999645 146050.12790000066, -15023.347299999557 146111.9012000002, -15012.517500000075 146136.2126000002, -14971.362900000066 146174.89360000007, -14909.90739999991 146188.52500000037, -14852.59240000043 146199.42259999923, -14814.018099999987 146226.32100000046, -14775.85570000019 146248.5683999993, -14744.58169999998 146207.4695999995, -14734.788300000131 146139.23149999976, -14732.642099999823 146085.4408999998, -14730.686400000006 146075.2006000001))"
1076,1001,1,EcEc_3_Ct,1076,Castelo de Paiva,146961.583185,-13619.8700975,314.0,28.7513,x,m,i,4,Marginal,Lu3.1,Leptossolos,908.035376901,52046.6847156,5.20466847156,Eucalipto,908.035408606,52046.6849246,2.9,0.0,0.0,0.0,"POLYGON ((-13317.205699999817 146645.04609999992, -13345.434100000188 146644.99049999937, -13392.79050000012 146645.3571000006, -13399.160500000231 146660.23330000043, -13415.428999999538 146681.1816000007, -13434.773699999787 146706.09109999985, -13457.104399999604 146734.84589999914, -13477.669300000183 146758.72100000083, -13499.065600000322 146783.5614, -13515.066200000234 146852.08190000057, -13499.098799999803 146920.53989999928, -13449.735399999656 146986.34710000083, -13382.37519999966 146986.32279999927, -13342.846900000237 146958.64269999973, -13328.519899999723 146892.41119999997, -13311.036600000225 146845.82630000077, -13313.57919999957 146786.78639999963, -13308.9972000001 146719.93649999984, -13317.205699999817 146645.04609999992))"
1077,1002,1,EcEc_4_10_2_Pv,1077,Castelo de Paiva,146757.556596,-13938.6605842,246.0,21.3538,x,m,i,3,Marginal,Ru1.1,Regossolos,1214.10767617,62777.2002343,6.27772002343,Eucalipto,1214.10769515,62777.1902603,2.9,0.0,0.0,0.0,"POLYGON ((-13566.587399999611 146587.72849999927, -13617.574599999934 146570.2087999992, -13639.246299999766 146513.89090000093, -13691.289599999785 146490.82609999925, -13744.382699999958 146502.47629999928, -13801.924300000072 146493.87700000033, -13867.299300000072 146430.12600000016, -13878.966000000015 146483.42039999925, -13923.04320000019 146546.87670000084, -13853.34250000026 146556.94739999995, -13815.663999999873 146585.8803000003, -13805.684100000188 146637.29509999976, -13776.392199999653 146693.60309999995, -13746.490899999626 146743.93459999934, -13726.316899999976 146801.65689999983, -13683.710099999793 146847.7003000006, -13647.302899999544 146759.63990000077, -13616.875699999742 146713.33779999986, -13583.802699999884 146667.03559999913, -13571.896499999799 146635.2854999993, -13562.63599999994 146610.15000000037, -13566.587399999611 146587.72849999927))"
1078,1003,1,EcEc_3_Np,1078,Castelo de Paiva,146957.160552,-14080.2355288,307.0,22.8723,x,m,i,3,Marginal,Ru1.1,Regossolos,1498.54320497,131205.735273,13.1205735273,Clareira,1498.54323826,131205.754549,0.0,0.0,0.0,0.0,"POLYGON ((-13923.04320000019 146546.87670000084, -13958.652499999851 146595.92640000023, -13983.78799999971 146643.55140000023, -14056.548499999568 146765.25999999978, -14105.496500000358 146849.92689999938, -14033.050999999978 146920.91740000062, -13958.255900000222 146932.36339999922, -13910.82320000045 146974.78250000067, -13855.169900000095 146996.15020000003, -13800.01919999998 147012.38859999925, -13730.544999999925 147038.32159999944, -13687.912700000219 147043.5390000008, -13665.681699999608 147046.2597000003, -13620.587299999781 146999.5968999993, -13634.278500000015 146949.08479999937, -13665.202100000344 146902.18459999934, -13683.710099999793 146847.7003000006, -13726.316899999976 146801.65689999983, -13746.490899999626 146743.93459999934, -13776.392199999653 146693.60309999995, -13805.684100000188 146637.29509999976, -13815.663999999873 146585.8803000003, -13853.34250000026 146556.94739999995, -13923.04320000019 146546.87670000084))"
