flow_timber_node1node14_t1: lb=0.0, ub=9.0, type=I, edge=node1node14, period=1, road_type=timber
flow_timber_node1node14_t2: lb=0.0, ub=9.0, type=I, edge=node1node14, period=2, road_type=timber
flow_timber_node1node14_t3: lb=0.0, ub=9.0, type=I, edge=node1node14, period=3, road_type=timber
flow_timber_node1node14_t4: lb=0.0, ub=9.0, type=I, edge=node1node14, period=4, road_type=timber
flow_timber_node1node14_t5: lb=0.0, ub=9.0, type=I, edge=node1node14, period=5, road_type=timber
flow_wide_node1node14_t1: lb=0.0, ub=9.0, type=I, edge=node1node14, period=1, road_type=wide
flow_wide_node1node14_t2: lb=0.0, ub=9.0, type=I, edge=node1node14, period=2, road_type=wide
flow_wide_node1node14_t3: lb=0.0, ub=9.0, type=I, edge=node1node14, period=3, road_type=wide
flow_wide_node1node14_t4: lb=0.0, ub=9.0, type=I, edge=node1node14, period=4, road_type=wide
flow_wide_node1node14_t5: lb=0.0, ub=9.0, type=I, edge=node1node14, period=5, road_type=wide
flow_timber_node1node12_t1: lb=0.0, ub=9.0, type=I, edge=node1node12, period=1, road_type=timber
flow_timber_node1node12_t2: lb=0.0, ub=9.0, type=I, edge=node1node12, period=2, road_type=timber
flow_timber_node1node12_t3: lb=0.0, ub=9.0, type=I, edge=node1node12, period=3, road_type=timber
flow_timber_node1node12_t4: lb=0.0, ub=9.0, type=I, edge=node1node12, period=4, road_type=timber
flow_timber_node1node12_t5: lb=0.0, ub=9.0, type=I, edge=node1node12, period=5, road_type=timber
flow_wide_node1node12_t1: lb=0.0, ub=9.0, type=I, edge=node1node12, period=1, road_type=wide
flow_wide_node1node12_t2: lb=0.0, ub=9.0, type=I, edge=node1node12, period=2, road_type=wide
flow_wide_node1node12_t3: lb=0.0, ub=9.0, type=I, edge=node1node12, period=3, road_type=wide
flow_wide_node1node12_t4: lb=0.0, ub=9.0, type=I, edge=node1node12, period=4, road_type=wide
flow_wide_node1node12_t5: lb=0.0, ub=9.0, type=I, edge=node1node12, period=5, road_type=wide
flow_timber_node1node2_t1: lb=0.0, ub=9.0, type=I, edge=node1node2, period=1, road_type=timber
flow_timber_node1node2_t2: lb=0.0, ub=9.0, type=I, edge=node1node2, period=2, road_type=timber
flow_timber_node1node2_t3: lb=0.0, ub=9.0, type=I, edge=node1node2, period=3, road_type=timber
flow_timber_node1node2_t4: lb=0.0, ub=9.0, type=I, edge=node1node2, period=4, road_type=timber
flow_timber_node1node2_t5: lb=0.0, ub=9.0, type=I, edge=node1node2, period=5, road_type=timber
flow_wide_node1node2_t1: lb=0.0, ub=9.0, type=I, edge=node1node2, period=1, road_type=wide
flow_wide_node1node2_t2: lb=0.0, ub=9.0, type=I, edge=node1node2, period=2, road_type=wide
flow_wide_node1node2_t3: lb=0.0, ub=9.0, type=I, edge=node1node2, period=3, road_type=wide
flow_wide_node1node2_t4: lb=0.0, ub=9.0, type=I, edge=node1node2, period=4, road_type=wide
flow_wide_node1node2_t5: lb=0.0, ub=9.0, type=I, edge=node1node2, period=5, road_type=wide
