flow_timber_node1node10_t1: lb=0.0, ub=9.0, type=I, edge=node1node10, period=1, road_type=timber
flow_timber_node1node10_t2: lb=0.0, ub=9.0, type=I, edge=node1node10, period=2, road_type=timber
flow_timber_node1node10_t3: lb=0.0, ub=9.0, type=I, edge=node1node10, period=3, road_type=timber
flow_timber_node1node10_t4: lb=0.0, ub=9.0, type=I, edge=node1node10, period=4, road_type=timber
flow_timber_node1node10_t5: lb=0.0, ub=9.0, type=I, edge=node1node10, period=5, road_type=timber
flow_wide_node1node10_t1: lb=0.0, ub=9.0, type=I, edge=node1node10, period=1, road_type=wide
flow_wide_node1node10_t2: lb=0.0, ub=9.0, type=I, edge=node1node10, period=2, road_type=wide
flow_wide_node1node10_t3: lb=0.0, ub=9.0, type=I, edge=node1node10, period=3, road_type=wide
flow_wide_node1node10_t4: lb=0.0, ub=9.0, type=I, edge=node1node10, period=4, road_type=wide
flow_wide_node1node10_t5: lb=0.0, ub=9.0, type=I, edge=node1node10, period=5, road_type=wide
flow_timber_node1node9_t1: lb=0.0, ub=9.0, type=I, edge=node1node9, period=1, road_type=timber
flow_timber_node1node9_t2: lb=0.0, ub=9.0, type=I, edge=node1node9, period=2, road_type=timber
flow_timber_node1node9_t3: lb=0.0, ub=9.0, type=I, edge=node1node9, period=3, road_type=timber
flow_timber_node1node9_t4: lb=0.0, ub=9.0, type=I, edge=node1node9, period=4, road_type=timber
flow_timber_node1node9_t5: lb=0.0, ub=9.0, type=I, edge=node1node9, period=5, road_type=timber
flow_wide_node1node9_t1: lb=0.0, ub=9.0, type=I, edge=node1node9, period=1, road_type=wide
flow_wide_node1node9_t2: lb=0.0, ub=9.0, type=I, edge=node1node9, period=2, road_type=wide
flow_wide_node1node9_t3: lb=0.0, ub=9.0, type=I, edge=node1node9, period=3, road_type=wide
flow_wide_node1node9_t4: lb=0.0, ub=9.0, type=I, edge=node1node9, period=4, road_type=wide
flow_wide_node1node9_t5: lb=0.0, ub=9.0, type=I, edge=node1node9, period=5, road_type=wide
flow_timber_node1node4_t1: lb=0.0, ub=9.0, type=I, edge=node1node4, period=1, road_type=timber
flow_timber_node1node4_t2: lb=0.0, ub=9.0, type=I, edge=node1node4, period=2, road_type=timber
flow_timber_node1node4_t3: lb=0.0, ub=9.0, type=I, edge=node1node4, period=3, road_type=timber
flow_timber_node1node4_t4: lb=0.0, ub=9.0, type=I, edge=node1node4, period=4, road_type=timber
flow_timber_node1node4_t5: lb=0.0, ub=9.0, type=I, edge=node1node4, period=5, road_type=timber
flow_wide_node1node4_t1: lb=0.0, ub=9.0, type=I, edge=node1node4, period=1, road_type=wide
flow_wide_node1node4_t2: lb=0.0, ub=9.0, type=I, edge=node1node4, period=2, road_type=wide
flow_wide_node1node4_t3: lb=0.0, ub=9.0, type=I, edge=node1node4, period=3, road_type=wide
flow_wide_node1node4_t4: lb=0.0, ub=9.0, type=I, edge=node1node4, period=4, road_type=wide
flow_wide_node1node4_t5: lb=0.0, ub=9.0, type=I, edge=node1node4, period=5, road_type=wide
flow_timber_node1node15_t1: lb=0.0, ub=9.0, type=I, edge=node1node15, period=1, road_type=timber
flow_timber_node1node15_t2: lb=0.0, ub=9.0, type=I, edge=node1node15, period=2, road_type=timber
