"Source(x,y)","Target(x,y)"
"(-17189.48068, 152766.05181)","(-16660.03048, 152548.65151)"
"(-17189.48068, 152766.05181)","(-17287.64548, 152561.15991)"
"(-17189.48068, 152766.05181)","(-16492.43778, 152797.65291)"
"(-17189.48068, 152766.05181)","(-17046.67685, 152566.31793)"
"(-16358.76038, 151937.50841)","(-16374.17248, 152194.81661)"
"(-16358.76038, 151937.50841)","(-16358.79092, 151923.82668)"
"(-16358.76038, 151937.50841)","(-17038.09238, 152233.35931)"
"(-16844.74508, 152346.92351)","(-16935.25928, 152275.25061)"
"(-16844.74508, 152346.92351)","(-16462.62528, 152381.74381)"
"(-16844.74508, 152346.92351)","(-16750.26188, 152458.55281)"
"(-16844.74508, 152346.92351)","(-17218.19248, 152317.71579)"
"(-16492.43778, 152797.65291)","(-16114.27338, 152684.53441)"
"(-16492.43778, 152797.65291)","(-16224.79708, 152800.02881)"
"(-16492.43778, 152797.65291)","(-16339.0747, 152839.66536)"
"(-16224.79708, 152800.02881)","(-16114.27338, 152684.53441)"
"(-16224.79708, 152800.02881)","(-16120.49752, 152876.47555)"
"(-16224.79708, 152800.02881)","(-16339.0747, 152839.66536)"
"(-17038.09238, 152233.35931)","(-17300.06458, 152209.53081)"
"(-17038.09238, 152233.35931)","(-16935.25928, 152275.25061)"
"(-17038.09238, 152233.35931)","(-17218.19248, 152317.71579)"
"(-16374.17248, 152194.81661)","(-16462.62528, 152381.74381)"
"(-16374.17248, 152194.81661)","(-16620.54728, 152242.35931)"
"(-17638.85677, 152355.33976)","(-17300.06458, 152209.53081)"
"(-17638.85677, 152355.33976)","(-17335.13778, 152586.82601)"
"(-17638.85677, 152355.33976)","(-17559.14268, 152374.38941)"
"(-17638.85677, 152355.33976)","(-17218.19248, 152317.71579)"
"(-17638.85677, 152355.33976)","(-17475.20718, 152508.32622)"
"(-17300.06458, 152209.53081)","(-17019.68194, 152006.34884)"
"(-17300.06458, 152209.53081)","(-17218.19248, 152317.71579)"
"(-17559.14268, 152374.38941)","(-17412.91948, 152414.78841)"
"(-17559.14268, 152374.38941)","(-17335.13778, 152586.82601)"
"(-17559.14268, 152374.38941)","(-17318.76859, 152467.39973)"
"(-17559.14268, 152374.38941)","(-17218.19248, 152317.71579)"
"(-17559.14268, 152374.38941)","(-17475.20718, 152508.32622)"
"(-17335.13778, 152586.82601)","(-17287.64548, 152561.15991)"
"(-17335.13778, 152586.82601)","(-17318.76859, 152467.39973)"
"(-17335.13778, 152586.82601)","(-17475.20718, 152508.32622)"
"(-16935.25928, 152275.25061)","(-16620.54728, 152242.35931)"
"(-16935.25928, 152275.25061)","(-17218.19248, 152317.71579)"
"(-16750.26188, 152458.55281)","(-17412.91948, 152414.78841)"
"(-16750.26188, 152458.55281)","(-16660.03048, 152548.65151)"
"(-16750.26188, 152458.55281)","(-17218.19248, 152317.71579)"
"(-16750.26188, 152458.55281)","(-17046.67685, 152566.31793)"
"(-16660.03048, 152548.65151)","(-16309.70131, 152580.36063)"
"(-16660.03048, 152548.65151)","(-17046.67685, 152566.31793)"
"(-16114.27338, 152684.53441)","(-16096.70541, 152682.36683)"
"(-16114.27338, 152684.53441)","(-16339.0747, 152839.66536)"
"(-17287.64548, 152561.15991)","(-17412.91948, 152414.78841)"
"(-17287.64548, 152561.15991)","(-17318.76859, 152467.39973)"
"(-17287.64548, 152561.15991)","(-17046.67685, 152566.31793)"
"(-16010.10678, 152678.39471)","(-16309.70131, 152580.36063)"
"(-16010.10678, 152678.39471)","(-16096.70541, 152682.36683)"
"(-16010.10678, 152678.39471)","(-16120.49752, 152876.47555)"
"(-17412.91948, 152414.78841)","(-17318.76859, 152467.39973)"
"(-17412.91948, 152414.78841)","(-17218.19248, 152317.71579)"
"(-17412.91948, 152414.78841)","(-17046.67685, 152566.31793)"
"(-17019.68194, 152006.34884)","(-16358.79092, 151923.82668)"
