ID_UG;nodes
1403;(-14064.14058, 154634.70421),(-14102.58518, 154663.34791),(-14044.21468, 154489.40361),(-14000.78807, 154474.9652)
827;(-14102.58518, 154663.34791),(-14193.30918, 154818.42221),(-14653.41278, 154639.10661),(-14371.43338, 154627.15541),(-14044.21468, 154489.40361),(-14341.24251, 154510.74141)
824;(-14193.30918, 154818.42221),(-14653.41278, 154639.10661),(-14371.43338, 154627.15541),(-14442.52167, 154757.11622)
