"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-8304.42188, 152146.10471)","(-8248.36388, 152149.07701)",0.056136743148225664,31.8689,False,False,422,151,633,151,316,
"(-8304.42188, 152146.10471)","(-8483.41108, 152191.69191)",0.21247471710720367,False,False,False,1598,570,2394,570,1198,"[(-8368.71658, 152123.74211), (-8373.50798, 152142.69121), (-8413.72468, 152178.67471)]"
"(-8304.42188, 152146.10471)","(-8485.98448, 151832.05861)",0.392649365203293,False,False,False,2951,1054,4426,1054,2212,"[(-8327.48808, 152072.10471), (-8395.66878, 152025.97861), (-8461.05738, 151966.24051), (-8490.75018, 151919.26051), (-8495.92238, 151873.18361)]"
"(-8796.06058, 150461.22581)","(-8660.09166, 150546.68364)",0.16555581970686004,False,False,False,1244,445,1866,445,933,"[(-8792.40328, 150457.17361), (-8791.80948, 150458.85411)]"
"(-8796.06058, 150461.22581)","(-8928.27318, 150192.01831)",0.302795175729402,False,False,False,2276,812,3413,812,1706,"[(-8814.30988, 150409.57201), (-8872.27718, 150328.77161), (-8917.87668, 150236.04051)]"
"(-8796.06058, 150461.22581)","(-9415.2196, 150279.71656)",0.7859105368825432,False,False,False,5907,2108,8859,2108,4429,"[(-8831.81018, 150491.92841), (-8893.03548, 150469.93741), (-8960.75368, 150500.68221), (-9003.31468, 150502.92241), (-9054.09438, 150445.76911), (-9081.76368, 150412.84351), (-9161.30398, 150328.02541), (-9212.59168, 150314.11561), (-9215.85278, 150316.96751), (-9216.84378, 150316.69871), (-9271.02698, 150364.08211), (-9314.89858, 150375.09221), (-9334.75128, 150330.36161), (-9379.23508, 150293.33721)]"
"(-9620.52358, 148037.26381)","(-9404.45688, 148053.66941)",0.2684525729529393,False,False,False,1298,503,1946,503,972,"[(-9562.66178, 147997.99761), (-9505.78088, 147989.49161), (-9457.31188, 147992.18161), (-9415.85198, 148006.37741)]"
"(-9620.52358, 148037.26381)","(-9801.10198, 148388.50241)",0.5620974876211341,False,False,False,2716,1055,4073,1055,2036,"[(-9545.35008, 148064.26281), (-9604.86948, 148106.85161), (-9664.33148, 148148.01781), (-9698.48458, 148208.66421), (-9742.64808, 148259.18161), (-9813.83278, 148283.01121), (-9840.54118, 148335.33571)]"
"(-9620.52358, 148037.26381)","(-9737.58338, 147773.25181)",0.5541823608104007,False,False,False,2677,1042,4016,1042,2007,"[(-9696.81908, 148084.87921), (-9756.12258, 148088.70261), (-9785.79618, 148041.82221), (-9760.09188, 147982.86911), (-9781.95678, 147935.59761), (-9821.21548, 147894.98591), (-9831.79858, 147853.41221), (-9793.91908, 147830.46741), (-9753.05408, 147816.74621)]"
"(-8947.47258, 148172.98421)","(-9095.93818, 148163.72171)",0.20484911401496886,False,False,False,1539,549,2309,549,1155,"[(-8989.58958, 148179.68151), (-9028.34538, 148112.61171)]"
"(-8947.47258, 148172.98421)","(-8702.89838, 147929.52861)",0.3547314030516022,False,False,False,2666,952,3998,952,1999,"[(-8911.97978, 148129.79331), (-8835.49058, 148062.50641), (-8785.23838, 148022.34251), (-8717.12968, 147979.97041)]"
"(-8947.47258, 148172.98421)","(-8695.40188, 148292.43521)",0.32636065314846424,False,False,False,2453,876,3678,876,1839,"[(-8912.82168, 148231.13371), (-8865.43088, 148266.08491), (-8816.58088, 148229.34971), (-8753.11468, 148249.02201), (-8750.98768, 148250.61981), (-8724.53578, 148270.51981), (-8722.75538, 148271.85911), (-8721.20548, 148273.02491), (-8710.41598, 148281.14121), (-8706.42368, 148284.14431), (-8704.76708, 148285.39041), (-8697.40668, 148290.92711)]"
"(-9584.58478, 150211.06351)","(-9616.84428, 150346.57021)",0.14849001022278807,False,False,False,717,279,1076,279,538,"[(-9623.74458, 150265.13181)]"
"(-9584.58478, 150211.06351)","(-9555.91718, 150021.23041)",0.2700556371383754,False,False,False,2029,725,3044,725,1522,"[(-9634.65108, 150170.45271), (-9662.31098, 150110.95251), (-9617.01088, 150082.24761)]"
"(-9584.58478, 150211.06351)","(-9415.2196, 150279.71656)",0.18905907550321252,False,False,False,1419,507,2132,507,1065,"[(-9583.02208, 150212.19521), (-9580.33158, 150208.48061), (-9537.62988, 150239.40691), (-9483.19658, 150264.52581), (-9430.55468, 150273.91201)]"
"(-8256.79598, 151579.39731)","(-8257.25178, 151633.83521)",0.054439808137509996,29.0654,False,False,409,146,614,146,307,
